GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
105376826	0	0	0	0	0	0
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	0	0	0.00444	0	0	0.004932
339505	0	0	0	0	0	0
55450	6.35	5.831	9.103	6.648	8.931	6.656
79594	25.52	19.68	24.35	27.86	28.87	28.49
163933	0.1547	0.4572	0.3722	0.3281	0.1868	0.2189
978	0.07802	0	0	0	0	0
65018	22.85	23.39	17.55	18.8	20.36	19.74
102464833	1.148	11.37	5.36	7.911	7.127	4.33
100861548	19.12	20.58	17.65	17.94	19.16	19.83
1650	234	245.7	227.3	242.9	242	257.1
57576	0.2934	0.3865	0.1573	0.3275	0.2397	0.1456
400745	0.488	0.643	0.6107	0.4903	0.6513	0.4725
112268222	27.42	30.72	27.8	24.67	26.66	26.34
50809	71.39	80.24	60.39	61.71	69.8	59.83
8672	20.99	23.9	21.47	21.26	22.02	19.08
105376830	0.138	0.4319	0.2539	0.1708	0.2619	0.3689
105376829	0.2564	1.016	0.2177	0.3263	0.4776	0.2418
100302155	0	0	0	0	0	0
1889	28.41	31.37	23.99	29.5	27.91	28.33
100506801	0.2207	0.7162	0.2915	0.2341	0.1269	0.2313
105376832	0	0	0	0	0	0
84224	0.5769	0.5265	0.4374	0.4917	0.5118	0.4373
249	0	0	0.01897	0	0	0
105376834	0	0.04107	0	0	0	0
5909	37.76	38.78	31.73	26.19	36.07	27.4
84196	16.03	14.85	16.41	12.52	15.08	11.26
401944	0.4671	0.4244	0.4223	0.4315	0.3431	0.2985
3339	0.2047	0.3355	0.2129	0.257	0.294	0.2562
23436	0	0	0	0	0	0
10136	0.06967	0	0	0	0.1442	0.06572
101928043	2.08	1.792	1.152	2.11	1.685	1.365
29092	29.74	28.32	23.56	21.65	22.83	21.36
112268223	1.481	1.478	1.86	1.23	1.4	1.701
998	54.92	51.26	53.2	51.3	54.57	51.52
54361	0.0599	0.04166	0.1611	0.05294	0.1343	0.113
105376845	0.03368	0.07026	0.05721	0.1429	0.03486	0.2542
105376850	0.02115	0.02206	0.05387	0	0	0.01995
107985377	0	0	0	0	0	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	21.31	26.01	16.04	17.19	20.78	17.6
2046	0	0	0	0	0	0
102466615	0	0	0	0	0	0
712	0	0.1085	0	0	0	0
714	0	0	0	0	0	0
713	0	0	0	0	0	0
2048	2.512	3.664	2.387	3.028	2.68	3.116
100616391	0.7697	0	0	0	0	0
100422914	10.21	15.49	7.095	8.86	10.57	8.756
646262	0	0	0	0	0	0
729059	0.2466	0.6429	0.4188	0.1307	0.2552	0.1163
23028	166.8	190.3	152.2	152.6	159.8	153.9
100422866	0	0	1.577	0.9844	0	0
7798	19.3	18.83	16.82	18.27	21.02	17.74
3352	0	0.06967	0.01891	0	0.02304	0.021
100996511	6.993	8.832	7.878	5.167	6.084	4.596
10236	125.2	127.3	113.7	108.2	110	104.2
80818	10.91	7.69	7.605	7.511	8.708	7.639
148898	3.388	4.567	2.093	1.563	1.958	1.909
6920	0.3733	0.3635	0.2959	0.1848	0.2834	0.04696
55616	5.338	5.432	4.054	4.388	4.911	4.735
1870	57.44	64.34	28.28	30.32	33.76	31.06
101928163	7.031	6.899	2.565	3.093	2.749	3.193
105376859	5.932	5.727	5.038	4.65	5.873	3.893
3399	340	385.3	404.3	380.9	402.1	382.1
107984928	0.1711	0.3568	0.5811	0.1209	0.177	0.4841
259283	0.04476	0.09339	0.1521	0.1899	0.04633	0.2534
6135	1965	1771	2043	1791	1767	1881
6924	47.45	51.8	41.11	43.53	45.28	43.18
100506963	18.4	18.77	14.04	11.73	13.92	12.58
57095	98.82	108.3	90.02	90.04	89.06	98.28
105376860	26.15	28.71	25.7	25.12	20.83	27.25
11313	58.72	70.31	61.77	65.7	64.51	67.74
2582	38.72	45.39	38.07	36.03	38.79	37.97
3155	16.49	18.88	14.77	13.61	14.14	13.33
105376861	0.2623	0.1824	0	0.1854	0.3619	0.1649
2517	10.78	10.38	8.547	7.996	8.597	7.8
1269	12.02	13.61	3.536	2.764	3.524	2.863
107984929	0.327	0.5685	0.1389	0.1156	0.1692	0.2571
100616492	0	0	0	0	0	0
55629	174.7	147.4	166.8	138.3	153.4	126.2
10772	77.44	67.74	74.76	61.89	71.9	56.45
105378615	0	0	0	0	0	0
105376863	0	0	0	0	0	0
107984931	0	0	0	0	0	0
127294	0	0.01143	0	0	0	0
107985737	0	0	0	0	0	0
105376864	0	0	0	0	0	0
58985	0.1301	0.06785	0.03683	0.04599	0.06732	0.06136
163702	0.4707	0.5814	0.5049	0.5386	0.5769	0.701
284632	0	0	0	0	0	0.03225
105376871	0	0	0	0	0	0
57822	0	0	0.04541	0.0189	0.01845	0.06726
90529	0.2783	0.1814	0.1182	0.1107	0.108	0.1477
57185	14.47	13.98	9.86	10.53	12.51	10.86
100750325	1.191	2.236	1.113	0.6315	1.109	1.236
11123	14.17	13.06	8.585	7.919	9.159	8.223
100506985	6.163	5.278	4.352	3.44	4.163	3.488
400746	0.02003	0	0	0.03186	0.02073	0.009447
10250	63.16	69.42	54.96	57.4	64.47	56.47
25932	49.09	42.69	53.33	46.1	56.4	46.4
105376876	0	0	0	0	0	0
864	15.45	16.02	36.13	45.36	41.02	45.15
102465437	0.8766	0	0.7445	0	2.722	0
107984932	0.08564	0.2233	0.4	0.6358	0.1773	0.8079
105376878	0.247	0.2077	0.4364	0.6759	0.7421	0.6914
100616365	0	0	1.276	0	0	0
105376879	0	0	0	0	0	0
25949	46.7	39.01	57.69	48.54	52.42	45.34
57035	19.62	20.35	18.77	14.55	19.9	14.02
105376882	0.1934	0.1345	0.05475	0.06838	0.06673	0
6007	0.6992	0.9077	0.3299	0.5438	0.4664	0.4691
23585	64.08	61.8	61.91	57.21	61.57	58.84
6006	19.13	17.71	17.81	16.89	17.73	16.57
55219	22.58	17.31	21.85	22.57	21.69	19.94
26119	5.321	6.128	3.16	2.871	3.513	3.123
57134	0.1674	0.1397	0.1706	0.1657	0.08085	0.1895
57190	16.74	19.26	15.08	14.97	17.28	14.67
56181	30.39	27.75	25.32	22.54	26.1	23.59
646471	3.162	4.145	2.362	2.346	3.112	2.575
79000	20.37	22.15	16.65	17.32	17.25	16.64
164091	1.4	1.692	0.7829	1.105	0.7952	1.015
